#label:RFC 1345 CHARACTER MNEMONIC TABLE
#url:https://tools.ietf.org/html/rfc1345#section-3
#sw:CHARACTER MNEMONIC TABLE
c=	0446
c%	0447
s%	0448
sc	0449
='	044a
y=	044b
%'	044c
je	044d
ju	044e
ja	044f
io	0451
d%	0452
g%	0453
ie	0454
ds	0455
ii	0456
yi	0457
j%	0458
lj	0459
nj	045a
ts	045b
kj	045c
v%	045e
dz	045f
Y3	0462
y3	0463
O3	046a
o3	046b
F3	0472
f3	0473
V3	0474
v3	0475
C3	0480
c3	0481
G3	0490
g3	0491
A+	05d0
B+	05d1
G+	05d2
D+	05d3
H+	05d4
W+	05d5
Z+	05d6
X+	05d7
Tj	05d8
J+	05d9
K%	05da
K+	05db
L+	05dc
M%	05dd
M+	05de
N%	05df
N+	05e0
S+	05e1
E+	05e2
P%	05e3
P+	05e4
Zj	05e5
ZJ	05e6
Q+	05e7
R+	05e8
Sh	05e9
T+	05ea
,+	060c
;+	061b
?+	061f
H'	0621
aM	0622
aH	0623
wH	0624
ah	0625
yH	0626
a+	0627
b+	0628
tm	0629
t+	062a
tk	062b
g+	062c
hk	062d
x+	062e
d+	062f
dk	0630
r+	0631
z+	0632
s+	0633
sn	0634
c+	0635
dd	0636
tj	0637
zH	0638
e+	0639
i+	063a
++	0640
f+	0641
q+	0642
k+	0643
l+	0644
m+	0645
n+	0646
h+	0647
w+	0648
j+	0649
y+	064a
:+	064b
"+	064c
=+	064d
/+	064e
'+	064f
1+	0650
3+	0651
0+	0652
aS	0670
p+	067e
v+	06a4
gf	06af
0a	06f0
1a	06f1
2a	06f2
3a	06f3
4a	06f4
5a	06f5
6a	06f6
7a	06f7
8a	06f8
9a	06f9
A-0	1e00
a-0	1e01
B.	1e02
b.	1e03
B-.	1e04
b-.	1e05
B_	1e06
b_	1e07
C,'	1e08
c,'	1e09
D.	1e0a
d.	1e0b
D-.	1e0c
d-.	1e0d
D_	1e0e
d_	1e0f
D,	1e10
d,	1e11
D->	1e12
d->	1e13
E-!	1e14
e-!	1e15
E-'	1e16
e-'	1e17
E->	1e18
e->	1e19
E-?	1e1a
e-?	1e1b
E,(	1e1c
e,(	1e1d
F.	1e1e
f.	1e1f
G-	1e20
g-	1e21
H.	1e22
h.	1e23
H-.	1e24
h-.	1e25
H:	1e26
h:	1e27
H,	1e28
h,	1e29
H-(	1e2a
h-(	1e2b
I-?	1e2c
i-?	1e2d
I:'	1e2e
i:'	1e2f
K'	1e30
k'	1e31
K-.	1e32
k-.	1e33
K_	1e34
k_	1e35
L-.	1e36
l-.	1e37
L--.	1e38
l--.	1e39
L_	1e3a
l_	1e3b
L->	1e3c
l->	1e3d
M'	1e3e
m'	1e3f
M.	1e40
m.	1e41
M-.	1e42
m-.	1e43
N.	1e44
n.	1e45
N-.	1e46
n-.	1e47
N_	1e48
n_	1e49
N->	1e4a
N->	1e4b
O?'	1e4c
o?'	1e4d
O?:	1e4e
o?:	1e4f
O-!	1e50
o-!	1e51
O-'	1e52
o-'	1e53
P'	1e54
p'	1e55
P.	1e56
p.	1e57
R.	1e58
r.	1e59
R-.	1e5a
r-.	1e5b
R--.	1e5c
r--.	1e5d
R_	1e5e
r_	1e5f
S.	1e60
s.	1e61
S-.	1e62
s-.	1e63
S'.	1e64
s'.	1e65
S<.	1e66
s<.	1e67
S.-.	1e68
S.-.	1e69
T.	1e6a
t.	1e6b
T-.	1e6c
t-.	1e6d
T_	1e6e
t_	1e6f
T->	1e70
t->	1e71
U--:	1e72
u--:	1e73
U-?	1e74
u-?	1e75
U->	1e76
u->	1e77
U?'	1e78
u?'	1e79
U-:	1e7a
u-:	1e7b
V?	1e7c
v?	1e7d
V-.	1e7e
v-.	1e7f
W!	1e80
w!	1e81
W'	1e82
w'	1e83
W:	1e84
w:	1e85
W.	1e86
w.	1e87
W-.	1e88
w-.	1e89
X.	1e8a
x.	1e8b
X:	1e8c
x:	1e8d
Y.	1e8e
y.	1e8f
Z>	1e90
z>	1e91
Z-.	1e92
z-.	1e93
Z_	1e94
z_	1e95
h_	1e96
t:	1e97
w0	1e98
y0	1e99
A-.	1ea0
a-.	1ea1
A2	1ea2
a2	1ea3
A>'	1ea4
a>'	1ea5
A>!	1ea6
a>!	1ea7
A>2	1ea8
a>2	1ea9
A>?	1eaa
a>?	1eab
A>-.	1eac
a>-.	1ead
A('	1eae
a('	1eaf
A(!	1eb0
a(!	1eb1
A(2	1eb2
a(2	1eb3
A(?	1eb4
a(?	1eb5
A(-.	1eb6
a(-.	1eb7
E-.	1eb8
e-.	1eb9
E2	1eba
e2	1ebb
E?	1ebc
e?	1ebd
E>'	1ebe
e>'	1ebf
E>!	1ec0
e>!	1ec1
E>2	1ec2
e>2	1ec3
E>?	1ec4
e>?	1ec5
E>-.	1ec6
e>-.	1ec7
I2	1ec8
i2	1ec9
I-.	1eca
i-.	1ecb
O-.	1ecc
o-.	1ecd
O2	1ece
o2	1ecf
O>'	1ed0
o>'	1ed1
O>!	1ed2
o>!	1ed3
O>2	1ed4
o>2	1ed5
O>?	1ed6
o>?	1ed7
O>-.	1ed8
o>-.	1ed9
O9'	1eda
o9'	1edb
O9!	1edc
o9!	1edd
O92	1ede
o92	1edf
O9?	1ee0
o9?	1ee1
O9-.	1ee2
o9-.	1ee3
U-.	1ee4
u-.	1ee5
U2	1ee6
u2	1ee7
U9'	1ee8
u9'	1ee9
U9!	1eea
u9!	1eeb
U92	1eec
u92	1eed
U9?	1eee
u9?	1eef
U9-.	1ef0
u9-.	1ef1
Y!	1ef2
y!	1ef3
Y-.	1ef4
y-.	1ef5
Y2	1ef6
y2	1ef7
Y?	1ef8
y?	1ef9
;'	1f00
,'	1f01
;!	1f02
,!	1f03
?;	1f04
?,	1f05
!:	1f06
?:	1f07
1N	2002
1M	2003
3M	2004
4M	2005
6M	2006
1T	2009
1H	200a
-1	2010
-N	2013
-M	2014
-3	2015
!2	2016
=2	2017
'6	2018
'9	2019
.9	201a
9'	201b
"6	201c
"9	201d
:9	201e
9"	201f
/-	2020
/=	2021
..	2025
%0	2030
1'	2032
2'	2033
3'	2034
1"	2035
2"	2036
3"	2037
Ca	2038
<1	2039
>1	203a
:X	203b
!*2	203c
'-	203e
/f	2044
0S	2070
4S	2074
5S	2075
6S	2076
7S	2077
8S	2078
9S	2079
+S	207a
-S	207b
=S	207c
(S	207d
)S	207e
nS	207f
0s	2080
1s	2081
2s	2082
3s	2083
4s	2084
5s	2085
6s	2086
7s	2087
8s	2088
9s	2089
+s	208a
-s	208b
=s	208c
(s	208d
)s	208e
Li	20a4
Pt	20a7
W=	20a9
oC	2103
co	2105
oF	2109
N0	2116
PO	2117
Rx	211e
SM	2120
TM	2122
Om	2126
AO	212b
13	2153
23	2154
15	2155
25	2156
35	2157
45	2158
16	2159
56	215a
18	215b
38	215c
58	215d
78	215e
1R	2160
2R	2161
3R	2162
4R	2163
5R	2164
6R	2165
7R	2166
8R	2167
9R	2168
aR	2169
bR	216a
cR	216b
50R	216c
100R	216d
500R	216e
1000R	216f
1r	2170
2r	2171
3r	2172
4r	2173
5r	2174
6r	2175
7r	2176
8r	2177
9r	2178
ar	2179
br	217a
cr	217b
50r	217c
100r	217d
500r	217e
1000r	217f
1000RCD	2180
5000R	2181
10000R	2182
<-	2190
-!	2191
->	2192
-v	2193
<>	2194
UD	2195
<!!	2196
//>	2197
!!>	2198
<//	2199
<=	21d0
=>	21d2
==	21d4
FA	2200
dP	2202
TE	2203
/0	2205
DE	2206
NB	2207
(-	2208
-)	220b
*P	220f
+Z	2211
-2	2212
-+	2213
*-	2217
Ob	2218
Sb	2219
RT	221a
0(	221d
00	221e
-L	221f
-V	2220
PP	2225
AN	2227
OR	2228
(U	2229
)U	222a
In	222b
DI	222c
Io	222e
.:	2234
:.	2235
:R	2236
::	2237
?1	223c
CG	223e
?-	2243
?=	2245
?2	2248
=?	224c
HI	2253
!=	2260
=3	2261
=<	2264
>=	2265
<*	226a
*>	226b
!<	226e
!>	226f
(C	2282
)C	2283
(_	2286
)_	2287
0.	2299
02	229a
-T	22a5
.P	22c5
:3	22ee
.3	22ef
Eh	2302
<7	2308
>7	2309
7<	230a
7>	230b
NI	2310
(A	2312
TR	2315
Iu	2320
Il	2321
</	2329
/>	232a
Vs	2423
1h	2440
3h	2441
2h	2442
4h	2443
1j	2446
2j	2447
3j	2448
4j	2449
1-o	2460
2-o	2461
3-o	2462
4-o	2463
5-o	2464
6-o	2465
7-o	2466
8-o	2467
9-o	2468
10-o	2469
11-o	246a
12-o	246b
13-o	246c
14-o	246d
15-o	246e
16-o	246f
17-o	2470
18-o	2471
19-o	2472
20-o	2473
(1)	2474
(2)	2475
(3)	2476
(4)	2477
(5)	2478
(6)	2479
(7)	247a
(8)	247b
(9)	247c
(10)	247d
(11)	247e
(12)	247f
(13)	2480
(14)	2481
(15)	2482
(16)	2483
(17)	2484
(18)	2485
(19)	2486
(20)	2487
1.	2488
2.	2489
3.	248a
4.	248b
5.	248c
6.	248d
7.	248e
8.	248f
9.	2490
10.	2491
11.	2492
12.	2493
13.	2494
14.	2495
15.	2496
16.	2497
17.	2498
18.	2499
19.	249a
20.	249b
(a)	249c
(b)	249d
(c)	249e
(d)	249f
(e)	24a0
(f)	24a1
(g)	24a2
(h)	24a3
(i)	24a4
(j)	24a5
(k)	24a6
(l)	24a7
(m)	24a8
(n)	24a9
(o)	24aa
(p)	24ab
(q)	24ac
(r)	24ad
(s)	24ae
(t)	24af
(u)	24b0
(v)	24b1
(w)	24b2
(x)	24b3
