UK-10001	U+EA6B	
UK-10002	U+F4BD	
UK-10003	U+EA6C	
UK-10004	U+F4BA	
UK-10005	U+F4BB	
UK-10006	U+F4BC	
UK-10007	U+E54E	
UK-10008	U+F168	
UK-10009	U+F147	
UK-10010	U+F4BF	
UK-10011	U+E54F	
UK-10012	U+E550	
UK-10013	U+E5E7	
UK-10014	U+E6AA	
UK-10015	U+EA6D	
UK-10016	U+EA6E	
UK-10017	U+F3BA	
UK-10018	U+F3BB	
UK-10019	U+E758	
UK-10020	U+E759	
UK-10021	U+EFC3	
UK-10022	U+E5DE	
UK-10023	U+E5DF	
UK-10024	U+E53E	
UK-10025	U+E53F	
UK-10026	U+E540	
UK-10027	U+E541	
UK-10028	U+E542	
UK-10029	U+E543	
UK-10030	U+E544	
UK-10031	U+E545	
UK-10032	U+E546	
UK-10033	U+E547	
UK-10034	U+E548	
UK-10035	U+E549	
UK-10036	U+E54A	
UK-10037	U+E54B	
UK-10038	U+E54C	
UK-10039	U+E54D	
UK-10040	U+F543	
UK-10041	U+F544	
UK-10042	U+F545	
UK-10043	U+F546	
UK-10044	U+F547	
UK-10045	U+F548	
UK-10046	U+F549	
UK-10047	U+F54A	
UK-10048	U+F54B	
UK-10049	U+F54C	
UK-10050	U+F54D	
UK-10051	U+F54E	
UK-10052	U+F54F	
UK-10053	U+F551	
UK-10054	U+F552	
UK-10055	U+F553	
UK-10056	U+F554	
UK-10057	U+F555	
UK-10058	U+F556	
UK-10059	U+F557	
UK-10060	U+F558	
UK-10061	U+F55A	
UK-10062	U+F55B	
UK-10063	U+F55C	
UK-10064	U+F55D	
UK-10065	U+F55E	
UK-10066	U+F55F	
UK-10067	U+F560	
UK-10068	U+F561	
UK-10069	U+F562	
UK-10070	U+F563	
UK-10071	U+F564	
UK-10072	U+F565	
UK-10073	U+F566	
UK-10074	U+F567	
UK-10075	U+F568	
UK-10076	U+F56A	
UK-10077	U+F56B	
UK-10078	U+F56C	
UK-10079	U+F56D	
UK-10080	U+F56E	
UK-10081	U+F56F	
UK-10082	U+F570	
UK-10083	U+F571	
UK-10084	U+F572	
UK-10085	U+F573	
UK-10086	U+F574	
UK-10087	U+F575	
UK-10088	U+F576	
UK-10089	U+F578	
UK-10090	U+F57A	
UK-10091	U+F579	
UK-10092	U+F57B	
UK-10093	U+F57D	
UK-10094	U+F57E	
UK-10095	U+F580	
UK-10096	U+F581	
UK-10097	U+F582	
UK-10098	U+F583	
