1564	1-76-37	1-76-37	8CAA	8CAA		
1567	1-48-7	1-48-7	4E3C	4E3C		
1568	1-38-65	1-38-65	90A3	90A3		
1569	1-38-64	1-38-64	5948	5948		
1571	1-45-92	1-45-92	68A8	68A8		
1572	1-38-70	1-38-70	8B0E	8B0E	kyoyou	
1573	1-38-73	1-38-73	934B	934B		
1580	1-38-87	1-38-87	5302	5302		
1582	1-38-90	1-38-90	8679	8679		
1595	1-39-17	1-39-17	637B	637B		
1611	1-39-45	1-39-45	7F75	7F75		
1635	1-15-94	1-39-77	525D	5265	other	1-15-94
1644	1-40-4	1-40-4	7BB8	7BB8	other	
1657	1-40-37	1-40-37	6C3E	6C3E		
1660	1-40-38	1-40-38	6C4E	6C4E		
1664	1-26-69	1-26-69	962A	962A		
1671	1-40-35	1-40-35	6591	6591		
1704	1-40-93	1-40-93	7709	7709		
1709	1-41-8	1-41-8	819D	819D		
1710	1-41-10	1-41-10	8098	8098		
1744	1-41-76	1-41-76	961C	961C		
1746	1-75-30	1-75-30	8A03	8A03		
1799	1-42-35	1-42-35	853D	853D	other	
1800	1-44-63	1-44-63	9905	9905	kyoyou	
1803	1-64-90	1-64-90	74A7	74A7		
1806	1-42-46	1-42-46	8511	8511		
1819	1-51-14	1-51-14	54FA	54FA		
1847	1-43-10	1-43-10	8702	8702		
1870	1-43-38	1-43-38	8C8C	8C8C		
1874	1-93-90	1-43-43	9830	982C	other	1-93-90
1879	1-43-51	1-43-51	7766	7766		
1884	1-43-54	1-43-54	52C3	52C3		
1898	1-43-70	1-43-70	6627	6627		
1902	1-43-77	1-43-77	6795	6795		
1915	1-44-10	1-44-10	871C	871C		
1930	1-44-29	1-44-29	51A5	51A5		
1938	1-44-45	1-44-45	9EBA	9EBA		
1952	1-44-74	1-44-74	51B6	51B6		
1955	1-44-79	1-44-79	5F25	5F25		
1962	1-16-39	1-16-39	95C7	95C7		
1965	1-51-40	1-51-40	55A9	55A9		
1977	1-45-15	1-45-15	6E67	6E67		
1994	1-45-37	1-45-37	5996	5996		
2006	1-65-71	1-65-71	760D	760D		
2014	1-45-64	1-45-64	6C83	6C83		
2019	1-57-39	1-57-39	62C9	62C9		
2028	1-77-69	1-77-69	8FA3	8FA3		
2033	1-45-85	1-45-85	85CD	85CD		
2042	1-45-94	1-45-94	7483	7483		
2047	1-56-43	1-56-43	6144	6144		
2056	1-46-23	1-46-23	4FB6	4FB6		
2072	1-46-38	1-46-38	77AD	77AD		
2082	1-46-60	1-46-60	7460	7460		
2110	1-47-4	1-47-4	5442	5442		
2112	1-47-8	1-47-8	8CC2	8CC2		
2117	1-47-14	1-47-14	5F04	5F04		
2124	1-68-38	1-68-38	7C60	7C60		
2127	1-47-28	1-47-28	9E93	9E93		
2132	1-47-38	1-47-38	8107	8107		
