1-16-1	13-16-1
1-32-21	13-32-21
1-32-23	13-32-23
1-32-25	13-32-25
1-32-29	13-32-29
1-32-29	43-32-29
1-32-29	49-32-29
1-32-3	13-32-3
1-32-31	13-32-31
1-32-34	25-32-34
1-32-37	19-32-37
1-32-38	13-32-38
1-32-38	43-32-38
1-32-41	13-32-41
1-32-44	13-32-44
1-32-44	31-32-44
1-32-47	13-32-47
1-32-47	31-32-47
1-32-48	19-32-48
1-32-51	43-32-51
1-32-52	13-32-52
1-32-54	13-32-54
1-32-59	13-32-59
1-32-60	13-32-60
1-32-65	13-32-65
1-32-69	13-32-69
1-32-70	13-32-70
1-32-71	13-32-71
1-32-71	25-32-71
1-32-76	7-32-76
1-32-8	13-32-8
1-32-86	13-32-86
1-32-88	13-32-88
1-32-9	13-32-9
1-32-91	7-32-91
1-32-93	7-32-93
1-32-94	7-32-94
1-33-10	43-33-10
1-33-11	1-61-22
1-33-11	1-86-50
1-33-11	43-61-22
1-33-17	19-33-17
1-33-18	13-33-18
1-33-2	13-33-2
1-33-22	7-33-22
1-33-24	13-33-24
1-33-25	13-33-25
1-33-27	13-33-27
1-33-28	7-33-28
1-33-3	7-33-3
1-33-31	13-33-31
1-33-31	7-33-31
1-33-32	13-33-32
1-33-33	13-33-33
1-33-34	13-33-34
1-33-34	7-33-34
1-33-36	13-33-36
1-33-38	43-33-38
1-33-39	13-33-39
1-33-39	31-33-39
1-33-39	43-33-39
1-33-4	13-33-4
1-33-44	13-33-44
1-33-46	13-33-46
1-33-46	37-33-46
1-33-47	7-33-47
1-33-48	13-33-48
1-33-50	13-33-50
1-33-51	13-33-51
1-33-51	25-33-51
1-33-51	7-33-51
1-33-52	13-33-52
1-33-53	7-33-53
1-33-54	13-33-54
1-33-56	13-33-56
1-33-58	7-33-58
1-33-59	7-33-59
1-33-61	13-33-61
1-33-63	7-33-63
1-33-64	13-33-64
1-33-64	7-33-64
1-33-69	7-33-69
1-33-70	7-33-70
1-33-72	7-33-72
1-33-76	13-33-76
1-33-77	13-33-77
1-33-78	13-33-78
1-33-78	7-33-78
1-33-8	13-33-8
1-33-81	13-33-81
1-33-81	7-33-81
1-33-84	13-33-84
1-33-84	31-33-84
1-33-84	7-33-84
1-33-86	13-33-86
1-33-86	7-33-86
1-33-87	7-33-87
1-33-90	7-33-90
1-33-92	13-33-92
1-33-92	25-33-92
1-33-92	31-33-92
1-33-92	43-33-92
1-33-92	7-33-92
1-33-93	7-33-93
1-33-94	19-33-94
1-33-94	7-33-94
1-34-10	19-34-10
1-34-10	31-34-10
1-34-10	7-34-10
1-34-11	7-34-11
1-34-12	7-34-12
1-34-13	13-34-13
1-34-14	7-34-14
1-34-15	7-34-15
1-34-16	7-34-16
1-34-17	7-34-17
1-34-19	7-34-19
1-34-2	7-34-2
1-34-20	7-34-20
1-34-21	43-34-21
1-34-21	7-34-21
1-34-22	13-34-22
1-34-22	31-34-22
1-34-22	43-34-22
1-34-23	13-34-23
1-34-23	7-34-23
1-34-24	7-34-24
1-34-25	13-34-25
1-34-26	43-34-26
1-34-26	7-34-26
1-34-27	7-34-27
1-34-28	13-34-28
1-34-29	13-34-29
1-34-29	19-34-29
1-34-35	19-34-35
1-34-35	25-34-35
1-34-36	19-34-36
1-34-36	37-34-36
1-34-37	13-34-37
1-34-39	13-34-39
1-34-39	7-34-39
1-34-4	7-34-4
1-34-41	13-34-41
1-34-41	19-34-41
1-34-42	13-34-42
1-34-43	13-34-43
1-34-44	13-34-44
1-34-47	13-34-47
1-34-47	25-34-47
1-34-47	31-34-47
1-34-47	7-34-47
1-34-49	13-34-49
1-34-5	13-34-5
1-34-5	7-34-5
1-34-50	7-34-50
1-34-52	7-34-52
1-34-54	19-34-54
1-34-54	7-34-54
1-34-55	7-34-55
1-34-59	13-34-59
1-34-6	7-34-6
1-34-60	13-34-60
1-34-63	13-34-63
1-34-64	19-34-64
1-34-67	7-34-67
1-34-68	13-34-68
1-34-69	13-34-69
1-34-70	13-34-70
1-34-70	61-34-70
1-34-70	7-34-70
1-34-71	13-34-71
1-34-72	13-34-72
1-34-77	13-34-77
1-34-8	13-34-8
1-34-8	7-34-8
1-34-80	13-34-80
1-34-80	25-34-80
1-34-81	13-34-81
1-34-82	13-34-82
1-34-84	13-34-84
1-34-85	13-34-85
1-34-86	13-34-86
1-34-87	13-34-87
1-34-87	19-34-87
1-34-88	13-34-88
1-34-88	55-34-88
1-34-9	7-34-9
1-34-92	19-34-92
1-34-93	13-34-93
1-35-13	7-35-13
1-35-14	13-35-14
1-35-14	19-35-14
1-35-15	13-35-15
1-35-15	19-35-15
1-35-15	25-35-15
1-35-16	25-35-16
1-35-18	13-35-18
1-35-18	7-35-18
1-35-19	13-35-19
1-35-2	7-35-2
1-35-20	37-35-20
1-35-24	13-35-24
1-35-25	19-35-25
1-35-27	13-35-27
1-35-3	13-35-3
1-35-30	13-35-30
1-35-30	19-35-30
1-35-32	7-35-32
1-35-33	7-35-33
1-35-34	19-35-34
1-35-35	13-35-35
1-35-35	7-35-35
1-35-36	7-35-36
1-35-37	13-35-37
1-35-37	31-35-37
1-35-37	55-35-37
1-35-39	13-35-39
1-35-39	43-35-39
1-35-40	13-35-40
1-35-40	7-35-40
1-35-41	1-38-10
1-35-41	13-35-41
1-35-41	31-35-41
1-35-41	37-35-41
1-35-41	43-38-10
1-35-41	7-35-41
1-35-41	7-38-10
1-35-43	7-35-43
1-35-45	43-35-45
1-35-45	7-35-45
1-35-5	25-35-5
1-35-5	61-35-5
1-35-50	13-35-50
1-35-50	43-35-50
1-35-53	7-35-53
1-35-54	13-35-54
1-35-55	19-35-55
1-35-56	43-35-56
1-35-57	13-35-57
1-35-58	13-35-58
1-35-58	7-35-58
1-35-59	13-35-59
1-35-6	13-35-6
1-35-63	13-35-63
1-35-66	13-35-66
1-35-68	13-35-68
1-35-7	13-35-7
1-35-70	7-35-70
1-35-73	13-35-73
1-35-73	19-35-73
1-35-76	13-35-76
1-35-80	13-35-80
1-35-81	13-35-81
1-35-87	13-35-87
1-35-9	13-35-9
1-35-93	13-35-93
1-36-10	13-36-10
1-36-13	1-65-67
1-36-13	13-36-13
1-36-13	43-36-13
1-36-13	7-65-67
1-36-14	13-36-14
1-36-17	13-36-17
1-36-19	13-36-19
1-36-23	13-36-23
1-36-26	13-36-26
1-36-26	31-36-26
1-36-27	13-36-27
1-36-29	13-36-29
1-36-32	13-36-32
1-36-33	13-36-33
1-36-33	19-36-33
1-36-36	13-36-36
1-36-36	25-36-36
1-36-36	43-36-36
1-36-37	13-36-37
1-36-4	13-36-4
1-36-41	19-36-41
1-36-42	13-36-42
1-36-43	13-36-43
1-36-48	13-36-48
1-36-49	13-36-49
1-36-5	13-36-5
1-36-5	19-36-5
1-36-5	31-36-5
1-36-55	2-32-30
1-36-57	13-36-57
1-36-6	7-36-6
1-36-61	13-36-61
1-36-63	13-36-63
1-36-65	13-36-65
1-36-67	7-36-67
1-36-70	13-36-70
1-36-72	13-36-72
1-36-72	7-36-72
1-36-73	7-36-73
1-36-75	13-36-75
1-36-77	7-36-77
1-36-78	7-36-78
1-36-81	13-36-81
1-36-81	7-36-81
1-36-82	13-36-82
1-36-82	31-36-82
1-36-82	43-36-82
1-36-86	13-36-86
1-36-86	43-36-86
1-36-86	7-36-86
1-36-90	7-36-90
1-36-92	13-36-92
1-36-92	7-36-92
1-36-93	13-36-93
1-36-93	25-36-93
1-37-10	7-37-10
1-37-11	7-37-11
1-37-13	7-37-13
1-37-15	7-37-15
1-37-16	13-37-16
1-37-2	13-37-2
1-37-22	13-37-22
1-37-23	43-37-23
1-37-23	7-37-23
1-37-24	31-37-24
1-37-25	13-37-25
1-37-25	7-37-25
1-37-26	13-37-26
1-37-28	13-37-28
1-37-30	13-37-30
1-37-32	13-37-32
1-37-32	7-37-32
1-37-33	19-37-33
1-37-35	13-37-35
1-37-36	13-37-36
1-37-36	43-37-36
1-37-36	7-37-36
1-37-37	13-37-37
1-37-37	43-37-37
1-37-38	7-37-38
1-37-39	13-37-39
1-37-39	7-37-39
1-37-41	7-37-41
1-37-42	7-37-42
1-37-43	13-37-43
1-37-44	7-37-44
1-37-46	13-37-46
1-37-46	7-37-46
1-37-47	7-37-47
1-37-48	13-37-48
1-37-48	19-37-48
1-37-51	13-37-51
1-37-51	19-37-51
1-37-51	43-37-51
1-37-51	7-37-51
1-37-53	13-37-53
1-37-53	7-37-53
1-37-54	43-37-54
1-37-55	7-37-55
1-37-56	13-37-56
1-37-56	7-37-56
1-37-57	19-37-57
1-37-57	43-37-57
1-37-59	13-37-59
1-37-59	7-37-59
1-37-6	7-37-6
1-37-61	7-37-61
1-37-63	7-37-63
1-37-64	13-37-64
1-37-65	13-37-65
1-37-65	43-37-65
1-37-65	7-37-65
1-37-66	13-37-66
1-37-66	7-37-66
1-37-67	7-37-67
1-37-68	13-37-68
1-37-68	7-37-68
1-37-69	7-37-69
1-37-7	19-37-7
1-37-7	25-37-7
1-37-70	7-37-70
1-37-73	13-37-73
1-37-73	43-37-73
1-37-74	7-37-74
1-37-75	7-37-75
1-37-76	7-37-76
1-37-77	19-37-77
1-37-77	25-37-77
1-37-77	31-37-77
1-37-77	37-37-77
1-37-77	43-37-77
1-37-77	49-37-77
1-37-77	7-37-77
1-37-78	7-37-78
1-37-79	43-37-79
1-37-79	7-37-79
1-37-80	43-37-80
1-37-80	7-37-80
1-37-81	13-37-81
1-37-81	7-37-81
1-37-82	13-37-82
1-37-83	13-37-83
1-37-84	13-37-84
1-37-85	13-37-85
1-37-86	25-37-86
1-37-88	13-37-88
1-37-88	7-37-88
1-37-90	1-50-7
1-37-90	43-50-7
1-37-90	7-37-90
1-37-92	7-37-92
1-37-94	7-37-94
1-38-1	13-38-1
1-38-1	19-38-1
1-38-1	31-38-1
1-38-1	43-38-1
1-38-1	7-38-1
1-38-10	43-38-10
1-38-10	7-38-10
1-38-11	19-38-11
1-38-11	31-38-11
1-38-11	37-38-11
1-38-11	7-38-11
1-38-12	13-38-12
1-38-13	13-38-13
1-38-14	13-38-14
1-38-14	43-38-14
1-38-17	13-38-17
1-38-19	19-38-19
1-38-19	7-38-19
1-38-21	7-38-21
1-38-22	13-38-22
1-38-22	7-38-22
1-38-23	7-38-23
1-38-24	43-38-24
1-38-24	7-38-24
1-38-27	7-38-27
1-38-28	19-38-28
1-38-28	7-38-28
1-38-29	67-38-29
1-38-3	19-38-3
1-38-30	7-38-30
1-38-32	13-38-32
1-38-32	7-38-32
1-38-35	13-38-35
1-38-35	31-38-35
1-38-36	13-38-36
1-38-38	13-38-38
1-38-39	13-38-39
1-38-41	13-38-41
1-38-42	19-38-42
1-38-42	25-38-42
1-38-46	13-38-46
1-38-5	31-38-5
1-38-53	43-38-53
1-38-53	7-38-53
1-38-55	13-38-55
1-38-56	13-38-56
1-38-56	7-38-56
1-38-57	13-38-57
1-38-58	43-38-58
1-38-60	13-38-60
1-38-61	13-38-61
1-38-64	13-38-64
1-38-69	13-38-69
1-38-69	19-38-69
1-38-7	13-38-7
1-38-72	13-38-72
1-38-74	19-38-74
1-38-77	13-38-77
1-38-78	13-38-78
1-38-79	13-38-79
1-38-84	1-55-42
1-38-84	13-38-84
1-38-84	19-38-84
1-38-84	7-55-42
1-38-9	31-38-9
1-38-9	7-38-9
1-38-90	13-38-90
1-38-90	19-38-90
1-38-92	13-38-92
1-39-10	19-39-10
1-39-16	13-39-16
1-39-16	19-39-16
1-39-21	13-39-21
1-39-21	25-39-21
1-39-23	13-39-23
1-39-24	13-39-24
1-39-24	37-39-24
1-39-27	13-39-27
1-39-27	19-39-27
1-39-28	13-39-28
1-39-3	13-39-3
1-39-30	13-39-30
1-39-32	19-39-32
1-39-33	13-39-33
1-39-33	43-39-33
1-39-37	13-39-37
1-39-38	13-39-38
1-39-4	13-39-4
1-39-42	19-39-42
1-39-46	7-39-46
1-39-47	13-39-47
1-39-49	13-39-49
1-39-50	31-39-50
1-39-52	13-39-52
1-39-53	19-39-53
1-39-54	13-39-54
1-39-55	13-39-55
1-39-57	19-39-57
1-39-57	43-39-57
1-39-57	7-39-57
1-39-59	13-39-59
1-39-62	19-39-62
1-39-63	13-39-63
1-39-63	19-39-63
1-39-65	43-39-65
1-39-68	13-39-68
1-39-72	13-39-72
1-39-72	7-39-72
1-39-73	13-39-73
1-39-76	43-39-76
1-39-79	13-39-79
1-39-79	19-39-79
1-39-79	25-39-79
1-39-79	31-39-79
1-39-8	13-39-8
1-39-80	13-39-80
1-39-80	19-39-80
1-39-84	37-39-84
1-39-84	7-39-84
1-39-85	13-39-85
1-39-87	7-39-87
1-39-88	13-39-88
1-39-89	13-39-89
1-39-9	13-39-9
1-39-9	19-39-9
1-39-90	13-39-90
1-39-91	13-39-91
1-39-91	19-39-91
1-39-93	7-39-93
1-39-94	13-39-94
1-40-1	13-40-1
1-40-12	13-40-12
1-40-13	7-40-13
1-40-15	13-40-15
1-40-16	13-40-16
1-40-16	7-40-16
1-40-17	7-40-17
1-40-19	13-40-19
1-40-19	7-40-19
1-40-21	43-40-21
1-40-24	13-40-24
1-40-27	19-40-27
1-40-27	25-40-27
1-40-28	19-40-28
1-40-29	7-40-29
1-40-30	13-40-30
1-40-30	19-40-30
1-40-32	13-40-32
1-40-33	7-40-33
1-40-34	13-40-34
1-40-34	7-40-34
1-40-35	13-40-35
1-40-36	13-40-36
1-40-36	19-40-36
1-40-36	7-40-36
1-40-37	13-40-37
1-40-38	43-40-38
1-40-4	13-40-4
1-40-4	25-40-4
1-40-40	7-40-40
1-40-41	19-40-41
1-40-42	31-40-42
1-40-42	43-40-42
1-40-43	43-40-43
1-40-43	7-40-43
1-40-44	43-40-44
1-40-47	7-40-47
1-40-48	13-40-48
1-40-51	13-40-51
1-40-52	7-40-52
1-40-53	7-40-53
1-40-55	7-40-55
1-40-56	43-40-56
1-40-56	7-40-56
1-40-57	7-40-57
1-40-58	7-40-58
1-40-59	13-40-59
1-40-60	13-40-60
1-40-62	19-40-62
1-40-62	7-40-62
1-40-63	43-40-63
1-40-63	7-40-63
1-40-67	7-40-67
1-40-68	7-40-68
1-40-69	7-40-69
1-40-70	43-40-70
1-40-71	2-42-29
1-40-71	7-40-71
1-40-75	13-40-75
1-40-75	25-40-75
1-40-76	31-40-76
1-40-76	7-40-76
1-40-77	7-40-77
1-40-78	13-40-78
1-40-78	7-40-78
1-40-79	7-40-79
1-40-8	13-40-8
1-40-81	13-40-81
1-40-81	7-40-81
1-40-84	13-40-84
1-40-84	43-40-84
1-40-84	7-40-84
1-40-87	13-40-87
1-40-87	7-40-87
1-40-88	7-40-88
1-40-9	13-40-9
1-40-91	13-40-91
1-40-91	7-40-91
1-40-92	13-40-92
1-40-92	7-40-92
1-40-94	13-40-94
1-41-1	43-41-1
1-41-1	7-41-1
1-41-11	7-41-11
1-41-12	13-41-12
1-41-13	7-41-13
1-41-14	19-41-14
1-41-14	43-41-14
1-41-14	7-41-14
1-41-17	43-41-17
1-41-17	7-41-17
1-41-18	7-41-18
1-41-19	7-41-19
1-41-2	7-41-2
1-41-20	7-41-20
1-41-22	7-41-22
1-41-23	13-41-23
1-41-23	43-41-23
1-41-23	7-41-23
1-41-26	13-41-26
1-41-26	7-41-26
1-41-27	7-41-27
1-41-28	7-41-28
1-41-29	7-41-29
1-41-3	13-41-3
1-41-30	13-41-30
1-41-31	7-41-31
1-41-32	43-41-32
1-41-33	7-41-33
1-41-34	7-41-34
1-41-35	7-41-35
1-41-36	2-28-17
1-41-36	25-41-36
1-41-36	7-41-36
1-41-38	13-41-38
1-41-39	13-41-39
1-41-39	43-41-39
1-41-41	13-41-41
1-41-42	19-41-42
1-41-42	7-41-42
1-41-44	13-41-44
1-41-45	31-41-45
1-41-46	13-41-46
1-41-49	13-41-49
1-41-49	7-41-49
1-41-5	13-41-5
1-41-52	13-41-52
1-41-53	13-41-53
1-41-54	13-41-54
1-41-54	25-41-54
1-41-54	31-41-54
1-41-6	25-41-6
1-41-6	31-41-6
1-41-6	7-41-6
1-41-61	7-41-61
1-41-65	13-41-65
1-41-67	13-41-67
1-41-68	19-41-68
1-41-68	25-41-68
1-41-7	7-41-7
1-41-70	61-41-70
1-41-70	7-41-70
1-41-71	31-41-71
1-41-71	43-41-71
1-41-72	19-41-72
1-41-73	19-41-73
1-41-74	13-41-74
1-41-74	19-41-74
1-41-74	43-41-74
1-41-74	7-41-74
1-41-75	13-41-75
1-41-75	43-41-75
1-41-75	49-41-75
1-41-75	55-41-75
1-41-77	7-41-77
1-41-79	7-41-79
1-41-8	13-41-8
1-41-8	19-41-8
1-41-8	25-41-8
1-41-8	7-41-8
1-41-81	13-41-81
1-41-83	43-41-83
1-41-84	31-41-84
1-41-85	43-41-85
1-41-85	7-41-85
1-41-87	37-41-87
1-41-87	43-41-87
1-41-88	13-41-88
1-41-91	13-41-91
1-41-92	13-41-92
1-41-93	7-41-93
1-41-94	7-41-94
1-42-1	13-42-1
1-42-1	31-42-1
1-42-1	7-42-1
1-42-12	37-42-12
1-42-13	13-42-13
1-42-13	31-42-13
1-42-14	43-42-14
1-42-14	7-42-14
1-42-15	13-42-15
1-42-16	7-42-16
1-42-17	7-42-17
1-42-19	7-42-19
1-42-2	2-48-40
1-42-2	7-42-2
1-42-20	13-42-20
1-42-21	7-42-21
1-42-22	13-42-22
1-42-22	7-42-22
1-42-23	7-42-23
1-42-24	43-42-24
1-42-24	7-42-24
1-42-27	13-42-27
1-42-32	13-42-32
1-42-34	13-42-34
1-42-34	7-42-34
1-42-37	13-42-37
1-42-37	43-42-37
1-42-37	7-42-37
1-42-38	13-42-38
1-42-38	7-42-38
1-42-4	7-42-4
1-42-41	13-42-41
1-42-42	13-42-42
1-42-43	13-42-43
1-42-44	13-42-44
1-42-44	7-42-44
1-42-45	13-42-45
1-42-46	13-42-46
1-42-47	13-42-47
1-42-48	13-42-48
1-42-5	7-42-5
1-42-50	13-42-50
1-42-51	7-42-51
1-42-52	13-42-52
1-42-56	13-42-56
1-42-56	19-42-56
1-42-58	7-42-58
1-42-59	13-42-59
1-42-6	13-42-6
1-42-6	7-42-6
1-42-60	13-42-60
1-42-62	13-42-62
1-42-62	7-42-62
1-42-64	13-42-64
1-42-64	25-42-64
1-42-64	31-42-64
1-42-65	7-42-65
1-42-66	43-42-66
1-42-66	7-42-66
1-42-67	13-42-67
1-42-67	7-42-67
1-42-68	13-42-68
1-42-70	13-42-70
1-42-72	7-42-72
1-42-74	13-42-74
1-42-75	13-42-75
1-42-79	13-42-79
1-42-8	13-42-8
1-42-8	19-42-8
1-42-8	31-42-8
1-42-8	37-42-8
1-42-80	7-42-80
1-42-82	7-42-82
1-42-88	43-42-88
1-42-89	7-42-89
1-42-9	13-42-9
1-42-9	25-42-9
1-42-93	13-42-93
1-42-94	13-42-94
1-42-94	7-42-94
1-43-1	37-43-1
1-43-10	13-43-10
1-43-10	7-43-10
1-43-11	13-43-11
1-43-11	43-43-11
1-43-11	7-43-11
1-43-12	43-43-12
1-43-12	7-43-12
1-43-13	13-43-13
1-43-13	7-43-13
1-43-14	7-43-14
1-43-15	7-43-15
1-43-16	13-43-16
1-43-2	13-43-2
1-43-2	7-43-2
1-43-20	13-43-20
1-43-21	13-43-21
1-43-24	13-43-24
1-43-26	13-43-26
1-43-3	13-43-3
1-43-3	7-43-3
1-43-30	13-43-30
1-43-31	13-43-31
1-43-32	13-43-32
1-43-35	13-43-35
1-43-37	13-43-37
1-43-39	7-43-39
1-43-43	13-43-43
1-43-44	13-43-44
1-43-45	19-43-45
1-43-45	31-43-45
1-43-45	49-43-45
1-43-5	13-43-5
1-43-51	13-43-51
1-43-52	19-43-52
1-43-55	13-43-55
1-43-55	7-43-55
1-43-59	13-43-59
1-43-60	7-43-60
1-43-61	2-94-6
1-43-61	7-43-61
1-43-62	7-43-62
1-43-63	7-43-63
1-43-64	13-43-64
1-43-68	13-43-68
1-43-68	7-43-68
1-43-7	13-43-7
1-43-7	7-43-7
1-43-71	13-43-71
1-43-71	7-43-71
1-43-72	7-43-72
1-43-73	7-43-73
1-43-74	2-57-67
1-43-74	7-43-74
1-43-75	7-43-75
1-43-77	13-43-77
1-43-78	13-43-78
1-43-8	7-43-8
1-43-81	13-43-81
1-43-81	19-43-81
1-43-81	43-43-81
1-43-82	13-43-82
1-43-84	7-43-84
1-43-86	13-43-86
1-43-87	43-43-87
1-43-89	13-43-89
1-43-9	1-47-43
1-43-9	7-43-9
1-43-9	7-47-43
1-43-90	37-43-90
1-43-90	7-43-90
1-43-91	1-54-28
1-43-91	13-43-91
1-43-91	13-54-28
1-43-91	25-54-28
1-43-91	7-54-28
1-43-92	13-43-92
1-43-93	13-43-93
1-44-11	13-44-11
1-44-12	13-44-12
1-44-12	19-44-12
1-44-13	13-44-13
1-44-13	25-44-13
1-44-13	31-44-13
1-44-13	43-44-13
1-44-13	7-44-13
1-44-14	13-44-14
1-44-17	13-44-17
1-44-17	37-44-17
1-44-17	7-44-17
1-44-18	13-44-18
1-44-19	13-44-19
1-44-19	7-44-19
1-44-20	13-44-20
1-44-20	7-44-20
1-44-21	13-44-21
1-44-22	19-44-22
1-44-22	43-44-22
1-44-22	7-44-22
1-44-23	19-44-23
1-44-23	25-44-23
1-44-25	7-44-25
1-44-27	7-44-27
1-44-28	13-44-28
1-44-28	31-44-28
1-44-28	37-44-28
1-44-28	43-44-28
1-44-28	7-44-28
1-44-30	13-44-30
1-44-30	19-44-30
1-44-37	13-44-37
1-44-39	13-44-39
1-44-39	7-44-39
1-44-42	7-44-42
1-44-43	13-44-43
1-44-44	13-44-44
1-44-47	13-44-47
1-44-5	13-44-5
1-44-54	7-44-54
1-44-56	7-44-56
1-44-57	13-44-57
1-44-59	43-44-59
1-44-6	13-44-6
1-44-60	13-44-60
1-44-61	13-44-61
1-44-64	7-44-64
1-44-65	7-44-65
1-44-66	7-44-66
1-44-67	7-44-67
1-44-7	13-44-7
1-44-72	19-44-72
1-44-73	37-44-73
1-44-73	61-44-73
1-44-74	7-44-74
1-44-77	7-44-77
1-44-78	7-44-78
1-44-8	13-44-8
1-44-81	7-44-81
1-44-83	7-44-83
1-44-85	7-44-85
1-44-86	7-44-86
1-44-87	13-44-87
1-44-87	7-44-87
1-44-88	7-44-88
1-44-89	7-44-89
1-44-90	13-44-90
1-44-91	1-65-63
1-44-91	19-44-91
1-44-91	43-65-63
1-44-91	7-44-91
1-44-91	7-65-63
1-44-92	13-44-92
1-44-92	19-44-92
1-44-93	13-44-93
1-44-94	13-44-94
1-45-1	13-45-1
1-45-1	19-45-1
1-45-10	13-45-10
1-45-13	7-45-13
1-45-15	13-45-15
1-45-17	13-45-17
1-45-20	13-45-20
1-45-24	13-45-24
1-45-26	7-45-26
1-45-27	13-45-27
1-45-28	31-45-28
1-45-28	7-45-28
1-45-29	13-45-29
1-45-29	7-45-29
1-45-3	13-45-3
1-45-30	7-45-30
1-45-31	7-45-31
1-45-32	13-45-32
1-45-33	43-45-33
1-45-34	13-45-34
1-45-36	13-45-36
1-45-38	13-45-38
1-45-40	13-45-40
1-45-41	13-45-41
1-45-41	25-45-41
1-45-44	13-45-44
1-45-47	13-45-47
1-45-47	43-45-47
1-45-49	13-45-49
1-45-50	13-45-50
1-45-54	43-45-54
1-45-54	7-45-54
1-45-55	7-45-55
1-45-58	13-45-58
1-45-61	7-45-61
1-45-63	13-45-63
1-45-66	19-45-66
1-45-67	13-45-67
1-45-69	13-45-69
1-45-71	13-45-71
1-45-72	13-45-72
1-45-76	13-45-76
1-45-77	13-45-77
1-45-81	13-45-81
1-45-83	43-45-83
1-45-83	7-45-83
1-45-86	13-45-86
1-45-9	7-45-9
1-45-90	7-45-90
1-45-92	7-45-92
1-45-93	13-45-93
1-46-1	43-46-1
1-46-15	13-46-15
1-46-16	13-46-16
1-46-19	13-46-19
1-46-20	13-46-20
1-46-21	13-46-21
1-46-21	19-46-21
1-46-23	19-46-23
1-46-23	43-46-23
1-46-25	43-46-25
1-46-27	7-46-27
1-46-3	13-46-3
1-46-30	7-46-30
1-46-33	13-46-33
1-46-34	13-46-34
1-46-36	13-46-36
1-46-37	7-46-37
1-46-4	13-46-4
1-46-41	7-46-41
1-46-42	13-46-42
1-46-44	7-46-44
1-46-45	13-46-45
1-46-48	13-46-48
1-46-49	13-46-49
1-46-51	7-46-51
1-46-54	13-46-54
1-46-56	7-46-56
1-46-57	7-46-57
1-46-58	7-46-58
1-46-59	13-46-59
1-46-59	43-46-59
1-46-59	49-46-59
1-46-59	7-46-59
1-46-6	13-46-6
1-46-60	7-46-60
1-46-61	7-46-61
1-46-62	13-46-62
1-46-62	7-46-62
1-46-63	7-46-63
1-46-65	19-46-65
1-46-69	13-46-69
1-46-7	7-46-7
1-46-70	13-46-70
1-46-71	43-46-71
1-46-73	13-46-73
1-46-74	13-46-74
1-46-75	13-46-75
1-46-77	13-46-77
1-46-79	7-46-79
1-46-8	25-46-8
1-46-82	13-46-82
1-46-83	19-46-83
1-46-85	13-46-85
1-46-85	37-46-85
1-46-87	19-46-87
1-46-87	7-46-87
1-46-88	7-46-88
1-46-89	13-46-89
1-46-91	43-46-91
1-46-91	7-46-91
1-46-92	13-46-92
1-46-92	7-46-92
1-46-93	7-46-93
1-47-12	13-47-12
1-47-17	25-47-17
1-47-2	13-47-2
1-47-2	7-47-2
1-47-22	7-47-22
1-47-23	13-47-23
1-47-23	19-47-23
1-47-26	19-47-26
1-47-27	19-47-27
1-47-28	43-47-28
1-47-28	7-47-28
1-47-29	7-47-29
1-47-30	13-47-30
1-47-32	7-47-32
1-47-33	13-47-33
1-47-33	37-47-33
1-47-33	49-47-33
1-47-35	43-47-35
1-47-36	7-47-36
1-47-37	13-47-37
1-47-37	37-47-37
1-47-37	7-47-37
1-47-38	7-47-38
1-47-40	13-47-40
1-47-41	7-47-41
1-47-42	7-47-42
1-47-43	7-47-43
1-47-44	25-47-44
1-47-44	43-47-44
1-47-44	7-47-44
1-47-45	13-47-45
1-47-46	13-47-46
1-47-46	55-47-46
1-47-5	13-47-5
1-47-5	7-47-5
1-47-56	13-47-56
1-47-57	19-47-57
1-47-57	25-47-57
1-47-58	13-47-58
1-47-6	13-47-6
1-47-60	7-47-60
1-47-61	19-47-61
1-47-61	7-47-61
1-47-62	13-47-62
1-47-62	19-47-62
1-47-63	13-47-63
1-47-63	7-47-63
1-47-64	7-47-64
1-47-65	25-47-65
1-47-65	7-47-65
1-47-66	13-47-66
1-47-66	37-47-66
1-47-66	7-47-66
1-47-67	13-47-67
1-47-67	7-47-67
1-47-68	7-47-68
1-47-7	13-47-7
1-47-70	13-47-70
1-47-75	13-47-75
1-47-75	7-47-75
1-47-78	13-47-78
1-47-79	13-47-79
1-47-80	7-47-80
1-47-81	19-47-81
1-47-85	13-47-85
1-47-86	13-47-86
1-47-87	13-47-87
1-47-89	7-47-89
1-47-9	13-47-9
1-47-9	43-47-9
1-47-9	49-47-9
1-47-90	13-47-90
1-47-90	19-47-90
1-47-91	43-47-91
1-47-92	13-47-92
1-48-1	13-48-1
1-48-1	7-48-1
1-48-10	13-48-10
1-48-10	19-48-10
1-48-10	7-48-10
1-48-11	13-48-11
1-48-11	19-48-11
1-48-11	25-48-11
1-48-11	7-48-11
1-48-13	13-48-13
1-48-16	7-48-16
1-48-19	7-48-19
1-48-20	13-48-20
1-48-22	13-48-22
1-48-22	43-48-22
1-48-24	7-48-24
1-48-25	13-48-25
1-48-25	7-48-25
1-48-26	19-48-26
1-48-26	7-48-26
1-48-27	43-48-27
1-48-28	7-48-28
1-48-3	7-48-3
1-48-30	7-48-30
1-48-33	7-48-33
1-48-34	13-48-34
1-48-34	7-48-34
1-48-35	19-48-35
1-48-37	7-48-37
1-48-38	7-48-38
1-48-40	7-48-40
