1-16-1	13-16-1
1-19-87	19-19-87
1-19-88	7-19-88
1-19-89	7-19-89
1-19-90	13-19-90
1-19-91	19-19-91
1-19-92	1-44-22
1-19-92	19-44-22
1-19-92	43-44-22
1-19-92	7-19-92
1-19-92	7-44-22
1-19-94	7-19-94
1-20-1	13-20-1
1-20-1	19-20-1
1-20-1	25-20-1
1-20-1	31-20-1
1-20-1	37-20-1
1-20-1	43-20-1
1-20-1	49-20-1
1-20-1	7-20-1
1-20-12	13-20-12
1-20-14	13-20-14
1-20-14	25-20-14
1-20-15	7-20-15
1-20-19	13-20-19
1-20-19	7-20-19
1-20-2	7-20-2
1-20-20	7-20-20
1-20-21	13-20-21
1-20-21	43-20-21
1-20-21	7-20-21
1-20-22	13-20-22
1-20-22	43-20-22
1-20-22	7-20-22
1-20-23	13-20-23
1-20-23	7-20-23
1-20-24	7-20-24
1-20-25	19-20-25
1-20-25	25-20-25
1-20-25	43-20-25
1-20-28	13-20-28
1-20-28	7-20-28
1-20-29	13-20-29
1-20-29	7-20-29
1-20-3	13-20-3
1-20-3	19-20-3
1-20-3	7-20-3
1-20-30	13-20-30
1-20-34	1-76-75
1-20-34	19-76-75
1-20-34	25-76-75
1-20-4	13-20-4
1-20-40	13-20-40
1-20-42	13-20-42
1-20-45	13-20-45
1-20-46	13-20-46
1-20-47	13-20-47
1-20-49	1-29-47
1-20-49	13-29-47
1-20-49	2-43-64
1-20-49	7-20-49
1-20-49	7-29-47
1-20-5	13-20-5
1-20-50	7-20-50
1-20-51	13-20-51
1-20-53	7-20-53
1-20-55	13-20-55
1-20-56	13-20-56
1-20-57	13-20-57
1-20-59	13-20-59
1-20-59	25-20-59
1-20-63	7-20-63
1-20-64	25-20-64
1-20-64	7-20-64
1-20-66	13-20-66
1-20-68	13-20-68
1-20-69	13-20-69
1-20-7	13-20-7
1-20-74	13-20-74
1-20-75	43-20-75
1-20-77	13-20-77
1-20-78	13-20-78
1-20-79	13-20-79
1-20-8	13-20-8
1-20-8	19-20-8
1-20-8	25-20-8
1-20-80	13-20-80
1-20-80	31-20-80
1-20-81	13-20-81
1-20-83	13-20-83
1-20-85	19-20-85
1-20-87	13-20-87
1-20-88	13-20-88
1-20-9	13-20-9
1-20-90	7-20-90
1-20-91	7-20-91
1-20-92	13-20-92
1-20-93	19-20-93
1-20-93	31-20-93
1-20-93	37-20-93
1-20-93	7-20-93
1-21-11	7-21-11
1-21-12	13-21-12
1-21-14	13-21-14
1-21-16	13-21-16
1-21-18	13-21-18
1-21-2	13-21-2
1-21-22	13-21-22
1-21-24	1-52-11
1-21-24	1-64-61
1-21-24	2-27-93
1-21-24	26-27-93
1-21-24	7-52-11
1-21-24	7-64-61
1-21-24	8-27-93
1-21-25	13-21-25
1-21-28	1-46-79
1-21-28	1-63-30
1-21-28	13-21-28
1-21-28	3-13-92
1-21-28	7-46-79
1-21-28	7-63-30
1-21-29	13-21-29
1-21-30	13-21-30
1-21-32	13-21-32
1-21-35	13-21-35
1-21-39	13-21-39
1-21-41	13-21-41
1-21-42	1-78-72
1-21-42	13-21-42
1-21-46	19-21-46
1-21-47	13-21-47
1-21-48	13-21-48
1-21-54	13-21-54
1-21-54	19-21-54
1-21-57	13-21-57
1-21-60	13-21-60
1-21-60	19-21-60
1-21-62	13-21-62
1-21-63	13-21-63
1-21-67	13-21-67
1-21-68	19-21-68
1-21-7	13-21-7
1-21-73	13-21-73
1-21-74	13-21-74
1-21-74	43-21-74
1-21-74	49-21-74
1-21-81	13-21-81
1-21-82	13-21-82
1-21-83	19-21-83
1-21-83	25-21-83
1-21-83	31-21-83
1-21-87	25-21-87
1-21-89	13-21-89
1-21-9	19-21-9
1-21-91	13-21-91
1-21-91	43-21-91
1-21-93	13-21-93
1-21-94	13-21-94
1-22-10	13-22-10
1-22-10	19-22-10
1-22-14	13-22-14
1-22-18	13-22-18
1-22-2	13-22-2
1-22-2	43-22-2
1-22-25	31-22-25
1-22-27	13-22-27
1-22-3	19-22-3
1-22-30	7-22-30
1-22-32	13-22-32
1-22-34	13-22-34
1-22-34	19-22-34
1-22-34	43-22-34
1-22-36	13-22-36
1-22-36	31-22-36
1-22-4	13-22-4
1-22-40	13-22-40
1-22-40	7-22-40
1-22-41	13-22-41
1-22-41	7-22-41
1-22-58	19-22-58
1-22-58	25-22-58
1-22-62	25-22-62
1-22-65	13-22-65
1-22-65	25-22-65
1-22-67	19-22-67
1-22-67	7-22-67
1-22-68	13-22-68
1-22-7	13-22-7
1-22-70	37-22-70
1-22-70	43-22-70
1-22-72	43-22-72
1-22-72	7-22-72
1-22-77	7-22-77
1-22-79	7-22-79
1-22-80	13-22-80
1-22-81	7-22-81
1-22-82	19-22-82
1-22-85	13-22-85
1-22-86	13-22-86
1-22-88	7-22-88
1-22-90	7-22-90
1-22-91	13-22-91
1-22-93	13-22-93
1-23-1	7-23-1
1-23-12	7-23-12
1-23-14	7-23-14
1-23-15	43-23-15
1-23-16	13-23-16
1-23-16	7-23-16
1-23-17	7-23-17
1-23-18	7-23-18
1-23-19	19-23-19
1-23-19	7-23-19
1-23-2	7-23-2
1-23-27	13-23-27
1-23-29	7-23-29
1-23-32	7-23-32
1-23-36	7-23-36
1-23-37	7-23-37
1-23-38	1-44-25
1-23-38	7-23-38
1-23-38	7-44-25
1-23-39	7-23-39
1-23-40	13-23-40
1-23-41	13-23-41
1-23-42	13-23-42
1-23-43	7-23-43
1-23-46	7-23-46
1-23-49	7-23-49
1-23-51	13-23-51
1-23-51	31-23-51
1-23-52	7-23-52
1-23-53	7-23-53
1-23-54	7-23-54
1-23-56	13-23-56
1-23-58	43-23-58
1-23-58	7-23-58
1-23-59	7-23-59
1-23-6	13-23-6
1-23-60	7-23-60
1-23-61	7-23-61
1-23-62	13-23-62
1-23-62	7-23-62
1-23-64	13-23-64
1-23-65	1-50-23
1-23-65	13-23-65
1-23-65	7-23-65
1-23-65	7-50-23
1-23-66	7-23-66
1-23-68	7-23-68
1-23-69	13-23-69
1-23-69	19-23-69
1-23-7	7-23-7
1-23-71	13-23-71
1-23-72	13-23-72
1-23-72	19-23-72
1-23-72	31-23-72
1-23-72	37-23-72
1-23-72	43-23-72
1-23-75	19-23-75
1-23-77	13-23-77
1-23-78	19-23-78
1-23-78	37-23-78
1-23-79	13-23-79
1-23-79	43-23-79
1-23-79	61-23-79
1-23-79	7-23-79
1-23-80	25-23-80
1-23-80	7-23-80
1-23-81	7-23-81
1-23-82	13-23-82
1-23-82	43-23-82
1-23-82	7-23-82
1-23-83	2-80-14
1-23-83	43-23-83
1-23-83	7-23-83
1-23-83	8-80-14
1-23-84	43-23-84
1-23-84	7-23-84
1-23-9	13-23-9
1-23-90	13-23-90
1-23-91	1-46-23
1-23-91	19-46-23
1-23-91	31-23-91
1-23-91	43-46-23
1-23-92	13-23-92
1-24-1	13-24-1
1-24-14	43-24-14
1-24-15	13-24-15
